id,reviewId,creationDate,criticName,isTopCritic,originalScore,reviewState,publicatioName,reviewText,scoreSentiment,reviewUrl
2001_a_space_odyssey,128,1/1/2000,Christopher Null,FALSE,5-May,fresh,Filmcritic.com,It could be the greatest freak-out of all time.,POSITIVE,http://www.contactmusic.com/movie-review/2001aspaceodyssey
2001_a_space_odyssey,129,1/1/2000,Almar Haflidason,TRUE,5-May,fresh,BBC.com,Its triumph lies in its scope of cinematic splendour and the attempt to marry some of man's most beautiful music to the infinite mystery of space.,POSITIVE,http://www.bbc.co.uk/films/2000/09/18/2001_review.shtml
3_men_and_a_cradle,155,1/1/2000,Roger Ebert,TRUE,0.5/4,rotten,Chicago Sun-Times,"No one with the slightest knowledge of human nature will be able to find a single moment of this film to believe. It is all formula, every last miserable frame of it.",NEGATIVE,http://www.rogerebert.com/reviews/3-men-and-a-cradle-1986
3_men_and_a_cradle,157,1/1/2000,Dave Kehr,TRUE,,rotten,Chicago Reader,"While there are more than a few laughs, most of them are laughs of recognition -- seeing these gags again is like coming across long-lost (and vaguely embarrassing) relations.",NEGATIVE,http://onfilm.chicagoreader.com/movies/capsules/8317_THREE_MEN_AND_A_CRADLE.html
1000121-39_steps,158,1/1/2000,Andre Sennwald,TRUE,,fresh,New York Times,If you can imagine Anatole France writing a detective story you will have some notion of the artistry that Hitchcock brings to this screen version of John Buchan's novel.,POSITIVE,http://www.nytimes.com/library/film/091435hitch-steps-review.html
1000121-39_steps,171,1/1/2000,Tim Dirks,FALSE,A+,fresh,Filmsite,"The 39 Steps (1935) is one of the earlier Alfred Hitchcock British spy-chase suspense-thrillers from a vintage period, his 18th film. Considered his first real masterpiece, it is both a crowd-pleasing box-office success and an extremely influential film",POSITIVE,http://www.filmsite.org/thirt.html
1000121-39_steps,172,1/1/2000,Marjorie Baumgarten,TRUE,,fresh,Austin Chronicle,Laced with comic romantic touches.,POSITIVE,http://www.austinchronicle.com/gbase/Calendar/Film?Film=oid%3a140573
1000121-39_steps,173,1/1/2000,Ted Prigge,FALSE,4-Apr,fresh,rec.arts.movies.reviews,It's almost cleansing to see a film like this which doesn't insult your intelligence.,POSITIVE,http://reviews.imdb.com/Reviews/107/10715
1000123-310_to_yuma,177,1/1/2000,Pat Graham,TRUE,,fresh,Chicago Reader,"Despite an abundance of talk, this 1957 film is often considered [Daves'] best.",POSITIVE,http://onfilm.chireader.com/MovieCaps/T/TH/08341_THREE_TEN_TO_YUMA.html
52_pickup,201,1/1/2000,Roger Ebert,TRUE,3.5/4,fresh,Chicago Sun-Times,"A movie is only as good as its villain. John Frankenheimer's 52 Pick-Up provides us with the best, most reprehensible villain of the year and uses his vile charm as the starting point for a surprisingly good film.",POSITIVE,http://www.rogerebert.com/reviews/52-pick-up-1986
52_pickup,203,1/1/2000,Paul Attanasio,TRUE,,rotten,Washington Post,"John Frankenheimer has directed ""52 Pick-Up"" in a style so devoid of nuance, the movie almost watches itself.",NEGATIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/52pickuprattanasio_a0ad6f.htm
12-Aug,206,1/1/2000,Roger Ebert,TRUE,4-Apr,fresh,Chicago Sun-Times,8 1/2 is the best film ever made about filmmaking.,POSITIVE,http://www.rogerebert.com/reviews/great-movie-8-12--eight-and-a-half-1963
12-Aug,208,1/1/2000,Hal Hinson,TRUE,,fresh,Washington Post,"[Fellini] is that rare sort of artist who can be loved, revered and just barely tolerated, all at the same time.",POSITIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/8nrhinson_a0a7ef.htm
12-Aug,209,1/1/2000,Desson Thomson,TRUE,,fresh,Washington Post,"Somehow, the movie is more than the dated crisis of a naval-contemplating artist. It's about the inability in all of us to make sense of our lives, put it all together and come up with something meaningful.",POSITIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/8nrhowe_a0af9b.htm
12-Aug,210,1/1/2000,J. Hoberman,TRUE,,fresh,Village Voice,"The ensuing decades have brought forth a deluge of bogus masterpieces, and Fellini's, by comparison, holds up rather well.",POSITIVE,
12-Aug,220,1/1/2000,Peter Rainer,TRUE,,fresh,New York Magazine/Vulture,"Its opening [has] perhaps the greatest dream scene of all: Marcello Mastroianni's Guido stifled in a silent traffic jam, onlookers gazing blankly at him as he rises through the sunroof of his car, high into the sky. The rest of the film isn't too shabby.",POSITIVE,
9_12_weeks,231,1/1/2000,Roger Ebert,TRUE,3.5/4,fresh,Chicago Sun-Times,A lot of the success of 9 1/2 Weeks is because Rourke and Basinger make the characters and their relationship convincing. Rourke's,POSITIVE,http://www.rogerebert.com/reviews/9-12-weeks-1986
9_12_weeks,234,1/1/2000,Christopher Null,FALSE,5-Apr,fresh,Filmcritic.com,,POSITIVE,
9_to_5,239,1/1/2000,Christopher Null,FALSE,3.5/5,fresh,Filmcritic.com,"Tomlin, Parton, and Coleman all arguably turn in the most memorable roles of their careers. And then there's the script, which is sharp, jaded, and nihilistic, unusual for films form this era, which were typically dripping with sentimentality.",POSITIVE,
about_last_night,269,1/1/2000,Roger Ebert,TRUE,4-Apr,fresh,Chicago Sun-Times,"It has an eye and an ear for the way we live now, and it has a heart, too, and a sense of humor.",POSITIVE,https://www.rogerebert.com/reviews/about-last-night----1986
above_the_law,275,1/1/2000,Roger Ebert,TRUE,4-Mar,fresh,Chicago Sun-Times,"It contains 50 percent more plot than it needs, but that allows it room to grow in areas not ordinarily covered in action thrillers.",POSITIVE,http://www.rogerebert.com/reviews/above-the-law-1988
above_the_law,276,1/1/2000,Hal Hinson,TRUE,,rotten,Washington Post,"Woefully short on originality, intelligibility and anything resembling taste.",NEGATIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/abovethelawrhinson_a0c903.htm
absence_of_malice,284,1/1/2000,Dave Kehr,TRUE,,rotten,Chicago Reader,"The picture has a smug, demoralizing sense of pervasive corruption.",NEGATIVE,http://onfilm.chireader.com/MovieCaps/A/AB/00014_ABSENCE_OF_MALICE.html
abyss,294,1/1/2000,Desson Thomson,TRUE,,fresh,Washington Post,The human stuff is more than worth the descent.,POSITIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/theabysspg13howe_a0b22c.htm
abyss,295,1/1/2000,Rita Kempley,TRUE,,rotten,Washington Post,I'd sooner believe that Moby Dick could swim up the drainpipe.,NEGATIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/theabysspg13kempley_a09fd1.htm
abyss,302,1/1/2000,Elspeth Haughton,FALSE,90/100,fresh,Apollo Guide,A finely crafted film.,POSITIVE,http://www.apolloguide.com/mov_fullrev.asp?CID=2198
abyss,332,1/1/2000,Chris Hicks,FALSE,,fresh,Deseret News (Salt Lake City),Begins with a bang and just keeps on rolling.,POSITIVE,http://www.deseretnews.com/article/700000020/The-Abyss-Restored-Version.html
accattone,344,1/1/2000,Dave Kehr,TRUE,,fresh,Chicago Reader,The brutality and frigid despair of this 1962 film have had a lasting impact on political filmmaking.,POSITIVE,http://onfilm.chireader.com/MovieCaps/A/AC/00024_ACCATTONE.html
1000224-accused,352,1/1/2000,Roger Ebert,TRUE,4-Mar,fresh,Chicago Sun-Times,The Accused demonstrates that rape victims often are suspects in their own cases.,POSITIVE,http://www.rogerebert.com/reviews/the-accused-1988
action_jackson,358,1/1/2000,Roger Ebert,TRUE,4-Jan,rotten,Chicago Sun-Times,"Action Jackson is a movie where some of the parts are good, but none of them fit and a lot of them stink.",NEGATIVE,http://www.rogerebert.com/reviews/action-jackson-1988
adventures_in_babysitting,373,1/1/2000,Roger Ebert,TRUE,2.5/4,rotten,Chicago Sun-Times,"By the end of the film, I'd had a couple of real laughs and a few interesting moments, but that was about all.",NEGATIVE,http://www.rogerebert.com/reviews/adventures-in-babysitting-1987
adventures_in_babysitting,374,1/1/2000,Rita Kempley,TRUE,,fresh,Washington Post,"A sweet-natured, adolescent variation on the big-city black comedy After Hours.",POSITIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/adventuresinbabysittingpgkempley_a0ca75.htm
adventures_in_babysitting,384,1/1/2000,David Keyes,FALSE,2.5/4,fresh,Cinemaphile.org,This is really just innocent material with a tendency to flout basic guidelines and stray from the perimeters of believability.,POSITIVE,http://cinemaphile.org/reviews/2000/adventuresinbabysitting.html
adventures_of_baron_munchausen,385,1/1/2000,Roger Ebert,TRUE,4-Mar,fresh,Chicago Sun-Times,"This is a vast and commodious work, and even allowing for the unsuccessful passages there is a lot here to treasure.",POSITIVE,http://www.rogerebert.com/reviews/the-adventures-of-baron-munchausen-1989
adventures_of_baron_munchausen,386,1/1/2000,Hal Hinson,TRUE,,fresh,Washington Post,A wondrous feat of imagination.,POSITIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/theadventuresofbaronmunchausenpghinson_a0a8f0.htm
adventures_of_baron_munchausen,387,1/1/2000,Desson Thomson,TRUE,,fresh,Washington Post,Another brilliantly inventive epic of fantasy and satire.,POSITIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/theadventuresofbaronmunchausenpghowe_a0b1ea.htm
adventures_of_baron_munchausen,391,1/1/2000,James O'Ehley,FALSE,4-Mar,fresh,Sci-Fi Movie Page,"The film also feels overlong at times, but while it's not as great as it could have been, it's still definitely worth seeing.",POSITIVE,http://www.scifimoviepage.com/adven.html
adventures_of_baron_munchausen,396,1/1/2000,Chris Hicks,FALSE,,fresh,Deseret News (Salt Lake City),Gilliam has set up so many entrancing set-pieces that it's impossible to list them all.,POSITIVE,http://www.deseretnews.com/article/700000032/The-Adventures-of-Baron-Munchausen.html
1000355-adventures_of_robin_hood,409,1/1/2000,Tim Dirks,FALSE,A+,fresh,Filmsite,"The Adventures of Robin Hood (1938) is one of the greatest, most colorful costume dramas, swashbucklers, and romantically-tinged adventure films in film history.",POSITIVE,https://www.filmsite.org/adve.html
1000355-adventures_of_robin_hood,411,1/1/2000,Steve Rhodes,FALSE,3.5/4,fresh,Internet Reviews,"A wonderful fairy tale of a movie with delightful, cartoonish figures.",POSITIVE,http://reviews.imdb.com/Reviews/103/10343
the_african_queen_1951,430,1/1/2000,Dan Jardine,FALSE,88/100,fresh,Apollo Guide,"There are not two better actors to tackle these roles, and director Huston keeps their story moving without lulls.",POSITIVE,
the_african_queen_1951,433,1/1/2000,Tim Dirks,FALSE,A+,fresh,Filmsite,"The African Queen (1951) is the uncomplicated tale of two companions with mismatched, ""opposites attract"" personalities who develop an implausible love affair as they travel together downriver in Africa around the start of World War I.",POSITIVE,https://www.filmsite.org/afri.html
after_the_rehearsal,444,1/1/2000,Dave Kehr,TRUE,,fresh,Chicago Reader,There is something liberating in the very schematism of the project: he no longer needs to pretend that his mouthpieces are real people.,POSITIVE,http://onfilm.chicagoreader.com/movies/capsules/106_AFTER_THE_REHEARSAL.html
against_all_odds,451,1/1/2000,Brian Webster,FALSE,57/100,rotten,Apollo Guide,,NEGATIVE,
agnes_of_god,460,1/1/2000,Roger Ebert,TRUE,4-Jan,rotten,Chicago Sun-Times,"Although the movie deals in the basic materials of a criminal investigation (cynical cops, forensic details, courtroom testimony), it has a seriously clouded agenda.",NEGATIVE,http://www.rogerebert.com/reviews/agnes-of-god-1985
airport,499,1/1/2000,Christopher Null,FALSE,3.5/5,fresh,Filmcritic.com,,POSITIVE,
1000560-alamo,504,1/1/2000,Urban Cinefile Critics,FALSE,,fresh,Urban Cinefile,The Alamo is an engaging and spectacular tribute to the power of filmmaking - both as socio-historic document and as a flashlight into the hearts of its participants.,POSITIVE,http://www.urbancinefile.com.au/home/view.asp?a=2854&s=Reviews
alice_adams,522,1/1/2000,Tim Dirks,FALSE,A+,fresh,Filmsite,"Alice Adams (1935) is RKO's touching, effectively poignant portrayal of small-town, mid-Western American pretenses in the early 1900s. The film's screenplay (by Dorothy Yost and Mortimer Offner) was based...",POSITIVE,https://www.filmsite.org/alic.html
alice_doesnt_live_here_anymore,523,1/1/2000,Jonathan Rosenbaum,TRUE,,fresh,Chicago Reader,"Not always successful, but packed with energy and a lively Oscar-winning performance by Burstyn.",POSITIVE,http://onfilm.chireader.com/MovieCaps/A/AL/00181_ALICE_DOESNT_LIVE_HERE_ANYMORE.html
alien,535,1/1/2000,James Berardinelli,TRUE,3.5/4,fresh,ReelViews,The way [Ridley] Scott meticulously raises the sense of menace and tension is worthy of Hitchcock.,POSITIVE,http://www.reelviews.net/php_review_template.php?identifier=395
alien,541,1/1/2000,Carlo Cavagna,FALSE,A+,fresh,AboutFilm.com,...a seminal movie in the history of horror...,POSITIVE,http://www.aboutfilm.com/movies/a/alien.htm
alien,554,1/1/2000,Tim Dirks,FALSE,A+,fresh,Filmsite,"Alien (1979) is 20th Century Fox's extremely suspenseful, space science-fiction horror film about a menacing, unstoppable, carnivorous, stowaway, hermaphroditic Demon beast.",POSITIVE,https://www.filmsite.org/alie.html
alien,555,1/1/2000,James O'Ehley,FALSE,3.5/4,fresh,Sci-Fi Movie Page,Both the Nostromo and the alien world where the alien gets picked up are strange and unforgettably original.,POSITIVE,http://www.scifimoviepage.com/alien.html
alien,558,1/1/2000,John A. Nesbit,FALSE,B,fresh,Old School Reviews,"Technically, Scott has consistently demonstrated that he ranks among the best popular film artists. Unfortunately, Scott's film doesn't work for me as well in other areas.",POSITIVE,http://oldschoolreviews.com/rev_70/alien.htm
alien,560,1/1/2000,Ted Prigge,FALSE,3.5/4,fresh,rec.arts.movies.reviews,"An atmospheric, claustriophobic, slow-moving creep-fest.",POSITIVE,http://reviews.imdb.com/Reviews/101/10178
alien,562,1/1/2000,Matt Easterbrook,FALSE,10-Sep,fresh,Matt's Movie Reviews,"An exercise in pure, raw, unadulterated fear.",POSITIVE,
alien,564,1/1/2000,Bryant Frazer,FALSE,A,fresh,Bryant Frazer's Deep Focus,"It delivers a frightening, visionary look at a cold, inhuman future.",POSITIVE,http://www.deep-focus.com/flicker/alien.html
1000617-aliens,588,1/1/2000,Roger Ebert,TRUE,3.5/4,fresh,Chicago Sun-Times,"The ads for Aliens claim that this movie will frighten you as few movies have, and, for once, the ads don't lie.",POSITIVE,https://www.rogerebert.com/reviews/aliens-1986
1000617-aliens,589,1/1/2000,John Hartl,TRUE,,fresh,Film.com,"""Absolutely smashing!""",POSITIVE,
1000617-aliens,595,1/1/2000,James Berardinelli,TRUE,4-Apr,fresh,ReelViews,"When it comes to the logical marriage of action, adventure, and science fiction, few films are as effective or accomplished as Aliens.",POSITIVE,http://www.reelviews.net/php_review_template.php?identifier=170
1000617-aliens,602,1/1/2000,Carlo Cavagna,FALSE,A,fresh,AboutFilm.com,Scott's tension-building atmospherics are replaced by Cameron's high-octane punch.,POSITIVE,http://www.aboutfilm.com/movies/a/aliens.htm
1000617-aliens,621,1/1/2000,Ted Prigge,FALSE,4-Apr,fresh,rec.arts.movies.reviews,"This is what this film does to you: it leaves you completely drained, just like the characters in this movie. Some say that the fact that this is exhausting is a major flaw; I say it's ingenius filmmaking, not a shock from James Cameron.",POSITIVE,http://reviews.imdb.com/Reviews/101/10182
1000617-aliens,624,1/1/2000,Matt Easterbrook,FALSE,10-Sep,fresh,Matt's Movie Reviews,Aliens is an exercise in film craftsmanship that has rarely been equaled in the twelve years since its release.,POSITIVE,
1000626-all_about_eve,634,1/1/2000,Roger Ebert,TRUE,,fresh,Chicago Sun-Times,"[Bette Davis'] veteran actress Margo Channing in ""All About Eve"" (1950) was her greatest role.",POSITIVE,http://www.rogerebert.com/reviews/great-movie-all-about-eve-1950
1000626-all_about_eve,638,1/1/2000,MaryAnn Johanson,FALSE,10-Sep,fresh,Flick Filosopher,All About Eve is a film that you see completely differently once you know what's going to happen.,POSITIVE,http://www.flickfilosopher.com/oscars/bestpix/allabouteve.html
1000626-all_about_eve,639,1/1/2000,Brian Webster,FALSE,91/100,fresh,Apollo Guide,"While its attitudes toward women are dated, its wit and perceptiveness are as fresh today as they were in 1950.",POSITIVE,http://web.archive.org/web/20030320153523/http://apolloguide.com/mov_fullrev.asp?CID=1899&Specific=562
1000626-all_about_eve,640,1/1/2000,TV Guide Staff,FALSE,5-May,fresh,TV Guide,"The screenplay... may be the most biting example of hard-boiled wit ever to come out of Hollywood, and it is stylishly performed at a breakneck pace by a uniformly expert cast.",POSITIVE,http://www.tvguide.com/movies/all-about-eve-111326/review/
1000626-all_about_eve,641,1/1/2000,Tim Dirks,FALSE,A+,fresh,Filmsite,"All About Eve (1950), is a realistic, dramatic depiction of show business and backstage life of Broadway and the New York theater. The devastating debunking of stage and theatrical characters was...",POSITIVE,https://www.filmsite.org/alla.html
1000626-all_about_eve,645,1/1/2000,James Brundage,FALSE,5-May,fresh,Filmcritic.com,The film is filled with a nice dark humor that is rare for the I-Like-Ike decade of filmmaking.,POSITIVE,http://hub.contactmusic.com/film/review/allabouteve
1000626-all_about_eve,647,1/1/2000,Jim Ridley,FALSE,,fresh,Nashville Scene,No other movie makes being smart and cynical look like more fun.,POSITIVE,http://www.filmvault.com/filmvault/nash/a/allabouteve1.html
all_dogs_go_to_heaven,648,1/1/2000,Roger Ebert,TRUE,4-Mar,fresh,Chicago Sun-Times,"Technicolor is back with an improved color system, and in All Dogs Go to Heaven it permits such a voluptuous use of color that the movie is an invigorating bath for the eyes.",POSITIVE,http://www.rogerebert.com/reviews/all-dogs-go-to-heaven-1989
all_dogs_go_to_heaven,649,1/1/2000,Rita Kempley,TRUE,,rotten,Washington Post,"Reynolds surely has a bone to pick with his woofish alter ego, who has all the actor's swagger but little of his diffident charm.",NEGATIVE,https://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/alldogsgotoheaven.htm
all_dogs_go_to_heaven,652,1/1/2000,Steve Rhodes,FALSE,4-Jan,rotten,Internet Reviews,,NEGATIVE,http://reviews.imdb.com/Reviews/49/4927
1000640-all_of_me,656,1/1/2000,Jonathan Rosenbaum,TRUE,,fresh,Chicago Reader,"All in all, an unusually amiable and well-made comedy...",POSITIVE,http://onfilm.chireader.com/MovieCaps/A/AL/00212_ALL_OF_ME.html
1000640-all_of_me,657,1/1/2000,Dave Kehr,TRUE,,fresh,Chicago Reader,"Martin has become a superb physical comic, and Tomlin brings some unexpected warmth to a cruelly written part. A manic fuzziness takes over in the last reel and spoils some of the pleasure, but it's still a sympathetic effort.",POSITIVE,http://onfilm.chireader.com/MovieCaps/A/AL/00230_ALL_OF_ME.html
all_quiet_on_the_western_front,660,1/1/2000,MaryAnn Johanson,FALSE,,fresh,Flick Filosopher,"With no focus on one or even a handful of characters, Quiet is strangely uninvolving until it begins to concentrate on young Paul Baumer.",POSITIVE,http://www.flickfilosopher.com/oscars/bestpix/allquiet.html
all_quiet_on_the_western_front,661,1/1/2000,TV Guide Staff,FALSE,5-May,fresh,TV Guide,Perhaps the greatest antiwar film ever made.,POSITIVE,https://www.tvguide.com/movies/all-quiet-on-the-western-front/review/2000168366/
all_quiet_on_the_western_front,662,1/1/2000,Tim Dirks,FALSE,A+,fresh,Filmsite,"All Quiet on the Western Front (1930) is the first major anti-war film of the sound era, faithfully based upon the timeless, best-selling 1929 novel by Erich Maria Remarque (who had experienced the war first-hand as a young German soldier).",POSITIVE,https://www.filmsite.org/allq.html
allegro_non_troppo_1979,687,1/1/2000,Rob Gonsalves,FALSE,A,fresh,Rob's Movie Vault,A must for animation buffs&#46;,POSITIVE,https://robsmovievault.wordpress.com/1976/02/02/allegro-non-troppo/
allegro_non_troppo_1979,689,1/1/2000,Jonathan Rosenbaum,TRUE,,fresh,Chicago Reader,It's not only a hilarious send-up of Disney's excesses but a splendid cartoon feature in its own right -- funny and imaginative and lively.,POSITIVE,http://onfilm.chicagoreader.com/movies/capsules/225_ALLEGRO_NON_TROPPO.html
allegro_non_troppo_1979,690,1/1/2000,Chris Hicks,FALSE,3.5/4,fresh,Deseret News (Salt Lake City),"The animated pieces are uniformly terrific, some touching, most hilarious and more than a few expressing Bozzetto's trademark anti-war sentiments.",POSITIVE,http://www.deseretnews.com/article/700000059/Allegro-Non-Troppo.html
alphaville,705,1/1/2000,Keith H. Brown,FALSE,,fresh,Edinburgh U Film Society,"Godard's avoidance of conventional science fiction architecture, in favour of what was actually available within Paris 1965, is his way of commenting on the city, what it was doing to its inhabitants, and what they were in danger of becoming.",POSITIVE,http://www.eufs.org.uk/films/alphaville_une_etrange_aventure_de_lemmy_caution.html
altered_states,711,1/1/2000,James O'Ehley,FALSE,4-Mar,fresh,Sci-Fi Movie Page,See it for the hallucinogenic scenes: real-time acid flashbacks!,POSITIVE,http://www.scifimoviepage.com/altered.html
altered_states,717,1/1/2000,Keith H. Brown,FALSE,,fresh,Edinburgh U Film Society,"No simple description could ever manage to convey the sheer visual assault of the film. It's a movie that has to be seen, experienced.",POSITIVE,http://www.eufs.org.uk/films/altered_states.html
always,718,1/1/2000,Roger Ebert,TRUE,4-Feb,rotten,Chicago Sun-Times,The result is a curiosity: a remake that wasn't remade enough.,NEGATIVE,http://www.rogerebert.com/reviews/always-1989
always,720,1/1/2000,Rita Kempley,TRUE,,rotten,Washington Post,"An unfulfilled promise, a plummeting dove.",NEGATIVE,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/always.htm
always,728,1/1/2000,Chris Hicks,FALSE,2.5/4,rotten,Deseret News (Salt Lake City),"The story, which was set during World War II in the original film, has been updated and placed in modern times. And that's part of the problem.",NEGATIVE,http://www.deseretnews.com/article/700000062/Always.html
amadeus,730,1/1/2000,Mark Dinning,TRUE,5-May,fresh,Empire Magazine,"Entering its third decade, but has lost none of its power to awe.",POSITIVE,http://www.empireonline.com/reviews/ReviewComplete.asp?FID=8153
amadeus,733,1/1/2000,MaryAnn Johanson,FALSE,10-Sep,fresh,Flick Filosopher,"The magnificent, passionate music alone makes it worth watching. The layered story and complex, deeply wounded characters make it worth revisiting again and again.",POSITIVE,http://www.flickfilosopher.com/oscars/bestpix/amadeus.shtml
amadeus,740,1/1/2000,TV Guide Staff,FALSE,5-May,fresh,TV Guide,"Amadeus is a must for any music lover, any film lover, or anyone who reveres excellence.",POSITIVE,http://www.tvguide.com/movies/amadeus-112419/review/
amadeus,744,1/1/2000,James Brundage,FALSE,5-May,fresh,Filmcritic.com,Watching Amadeus is like listening to Mozart: it is a horrible beauty beyond words.,POSITIVE,http://movies.amctv.com/movie/1984/Amadeus
amazon_women_on_the_moon,754,1/1/2000,Roger Ebert,TRUE,0.5/4,rotten,Chicago Sun-Times,Satirists are in trouble when their subjects are funnier than they are.,NEGATIVE,http://www.rogerebert.com/reviews/amazon-women-on-the-moon-1987
1000792-american_anthem,763,1/1/2000,Roger Ebert,TRUE,0.5/4,rotten,Chicago Sun-Times,"A large portion of the movie is given over to gymnastics competitions, which are not explained or photographed well enough to be very interesting.",NEGATIVE,https://www.rogerebert.com/reviews/american-anthem-1986
american_friend,776,1/1/2000,Dave Kehr,TRUE,,fresh,Chicago Reader,Gripping 1977 American thriller from Wim Wenders that turns back on itself with deadly European irony.,POSITIVE,http://onfilm.chireader.com/MovieCaps/A/AM/00280_AMERICAN_FRIEND.html
